param m := 10;
param n := 25;
param s := 1 2580 2 1280 3 2960 4 2250 5 3100 6 3730 7 3290 8 1790 9 1140 10 3210;
param d := 1 49 2 29 3 23 4 40 5 18 6 17 7 48 8 13 9 15 10 31 11 16 12 31 13 14 14 44 15 23 16 39 17 33 18 45 19 40 20 43 21 38 22 26 23 47 24 34 25 24 ;
param f := 1 36600 2 31400 3 50400 4 50400 5 58000 6 41500 7 45600 8 54900 9 31000 10 31600 ;
param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 :=
1 260 239 418 557 346 161 288 568 379 392 672 268 122 295 344 143 393  29 656 654 235 329 640 517 329
2 580 484  34 386 180 522 338 636 523  28 646 652 319 423 712 242 486 401 551 812 155 585 482 604 200
3  335 212 369 258 455 348  33 302 181 329 363 504 376  99 502 262 140 310 335 466 249 285 328 263 149
4  415 347 240 474 179 336 281 603 442 219 666 451 117 338 525  59 428 205 611 738  84 451 569 559 229
5  363 276 603 349 694 441 258  73 120 564 218 576 582 204 519 484 108 474 294 237 487 256 354  23 383
6  624 507 173 228 365 598 323 548 489 157 516 746 464 410 779 357 436 501 399 748 268 594 317 529 184
7  677 554 409  90 593 691 374 436 467 387 340 847 643 434 846 523 405 632 200 648 451 610 104 440 311
8  382 354 782 540 850 490 422 186 240 742 340 587 700 345 493 622 274 567 458  61 646 276 533 180 562
9  101 162 566 607 519  14 320 505 316 535 642 155 295 276 180 296 356 148 664 538 378 203 673 453 423
10  567 462 603 240 746 628 357 183 317 569 54 774 701 355 730 585 268 626  96 381 553 467 187 213 412 ;
end;
